schooljaar,grade_year_secondary,outflow_position,gender,belgian_nonbelgian,eu_noneu,age_category,household_language_dutch,mother_education_level,school_progress,grade_secondary_education,school_year_level,field_of_study,residence_merged_municipality_name,residence_province_name,residence_central_city,target
2022-2023,3rd Grade - 2nd Year,tso,Male,Belgian,EU,17-18,Exclusively Ned with everyone,Higher education,No academic delay,3,2,Tourism,Kortrijk,West Flanders,Yes,enroll
2022-2023,3rd Grade - 2nd Year,bso,Male,Belgian,EU,19-20,Exclusively Ned with everyone,Lower secondary education,2 years academic delay,3,2,Auto,Lier,Antwerpen,No,enroll
2022-2023,3rd Grade - 2nd Year,bso,Male,Belgian,EU,17-18,Exclusively Ned with everyone,Upper secondary education,No academic delay,3,2,Trade,Beringen,Limburg,No,enroll
2022-2023,3rd Grade - 2nd Year,bso,Male,Belgian,EU,17-18,Exclusively Ned with everyone,Upper secondary education,No academic delay,3,2,Trade,Beringen,Limburg,No,enroll
2022-2023,3rd Grade - 1st Year,bso,Male,Non-Belgian,EU,18-19,Exclusively Ned with everyone,Upper secondary education,2 years academic delay,3,1, (modernisering SO),Schoten,Antwerpen,No,dropout
2022-2023,2nd Grade - 1st Year,bso,Male,Non-Belgian,EU,18-19,Ned with no one,Upper secondary education,More than 2 years of academic delay,2,1, (modernisering SO),Sint-Niklaas,East Flanders,Yes,dropout
2022-2023,2nd Grade - 1st Year,bso,Male,Belgian,EU,17-18,Ned with no one,Upper secondary education,More than 2 years of academic delay,2,1, (modernisering SO),Leuven,Flemish Brabant,Yes,dropout
2022-2023,3rd Grade - 2nd Year,aso,Female,Belgian,EU,17-18,Ned with no one,Upper secondary education,No academic delay,3,2,General secondary education,Halle,Flemish Brabant,No,enroll
2022-2023,3rd Grade - 2nd Year,tso,Female,Non-Belgian,Non-EU,19-20,Ned with no one,Upper secondary education,2 years academic delay,3,2,Chemistry,Gent,East Flanders,Yes,enroll
2022-2023,3rd Grade - 2nd Year,tso,Female,Non-Belgian,Non-EU,18-19,Exclusively Ned with everyone,Higher education,1 year academic delay,3,2,Graphic communication and media,Tessenderlo-Ham,Limburg,No,enroll
2022-2023,3rd Grade - 2nd Year,tso,Female,Belgian,EU,17-18,Exclusively Ned with everyone,Higher education,No academic delay,3,2,Personal care,Diksmuide,West Flanders,No,enroll
2022-2023,3rd Grade - 2nd Year,tso,Male,Belgian,EU,18-19,Ned with at least one,Higher education,1 year academic delay,3,2,Tourism,Antwerpen,Antwerpen,Yes,dropout
2022-2023,3rd Grade - 2nd Year,tso,Male,Belgian,EU,18-19,Ned with at least one,Higher education,1 year academic delay,3,2,Tourism,Antwerpen,Antwerpen,Yes,enroll
2022-2023,3rd Grade - 2nd Year,aso,Female,Belgian,EU,<17-18,Ned with at least one,Upper secondary education,No academic delay,3,2,General secondary education,Oostende,West Flanders,Yes,enroll
2022-2023,3rd Grade - 2nd Year,bso,Male,Belgian,EU,17-18,Ned with at least one,Upper secondary education,No academic delay,3,2,Cooling and heating,Genk,Limburg,Yes,enroll
2022-2023,3rd Grade - 2nd Year,bso,Male,Belgian,EU,18-19,Ned with at least one,Upper secondary education,1 year academic delay,3,2,Trade,Ukkel,Brussels-Capital Region,No,enroll
2022-2023,3rd Grade - 2nd Year,tso,Male,Belgian,EU,17-18,Exclusively Ned with everyone,Upper secondary education,No academic delay,3,2,Optics,Antwerpen,Antwerpen,Yes,enroll
2022-2023,3rd Grade - 2nd Year,tso,Male,Belgian,EU,18-19,Exclusively Ned with everyone,Lower secondary education,1 year academic delay,3,2,Mechanics-electricity,Haacht,Flemish Brabant,No,enroll
2022-2023,3rd Grade - 2nd Year,tso,Male,Belgian,EU,17-18,Exclusively Ned with everyone,Higher education,No academic delay,3,2,Sport,Tielt,West Flanders,No,enroll
2022-2023,3rd Grade - 2nd Year,aso,Female,Belgian,EU,<17-18,Ned with at least one,Higher education,No academic delay,3,2,General secondary education,Etterbeek,Brussels-Capital Region,No,enroll
2022-2023,3rd Grade - 2nd Year,bso,Female,Belgian,EU,17-18,Exclusively Ned with everyone,Upper secondary education,No academic delay,3,2,Body care,Niel,Antwerpen,No,enroll
2022-2023,3rd Grade - 2nd Year,kso,Male,Belgian,EU,18-19,Ned with at least one,Upper secondary education,1 year academic delay,3,2,Visual arts,Schaarbeek,Brussels-Capital Region,No,enroll
2022-2023,3rd Grade - 2nd Year,bso,Male,Belgian,EU,18-19,Exclusively Ned with everyone,Higher education,1 year academic delay,3,2,Cooling and heating,Aarschot,Flemish Brabant,No,enroll
2022-2023,3rd Grade - 2nd Year,bso,Male,Belgian,EU,18-19,Exclusively Ned with everyone,Higher education,1 year academic delay,3,2,Cooling and heating,Aarschot,Flemish Brabant,No,enroll
2022-2023,3rd Grade - 2nd Year,kso,Female,Belgian,EU,17-18,Exclusively Ned with everyone,Upper secondary education,No academic delay,3,2,Visual arts,Mechelen,Antwerpen,Yes,enroll
2022-2023,3rd Grade - 2nd Year,tso,Male,Belgian,EU,17-18,Exclusively Ned with everyone,Higher education,No academic delay,3,2,Trade,Leuven,Flemish Brabant,Yes,enroll
2022-2023,3rd Grade - 2nd Year,aso,Male,Belgian,EU,17-18,Ned with at least one,Upper secondary education,No academic delay,3,2,General secondary education,Sint-Truiden,Limburg,No,enroll
2022-2023,3rd Grade - 2nd Year,tso,Male,Belgian,EU,19-20,Ned with at least one,Upper secondary education,2 years academic delay,3,2,Personal care,Brugge,West Flanders,Yes,enroll
2022-2023,3rd Grade - 2nd Year,tso,Male,Belgian,EU,17-18,Exclusively Ned with everyone,Higher education,No academic delay,3,2,Sport,Dendermonde,East Flanders,No,enroll
2022-2023,3rd Grade - 2nd Year,bso,Female,Non-Belgian,Non-EU,20-21,Ned with no one,Primary education,More than 2 years of academic delay,3,2,Personal care,Mechelen,Antwerpen,Yes,dropout
2022-2023,3rd Grade - 2nd Year,tso,Male,Belgian,EU,18-19,Exclusively Ned with everyone,Upper secondary education,1 year academic delay,3,2,Trade,Antwerpen,Antwerpen,Yes,enroll
2022-2023,3rd Grade - 2nd Year,tso,Male,Belgian,EU,18-19,Exclusively Ned with everyone,Upper secondary education,1 year academic delay,3,2,Trade,Antwerpen,Antwerpen,Yes,enroll
2022-2023,3rd Grade - 2nd Year,bso,Male,Belgian,EU,18-19,Exclusively Ned with everyone,Upper secondary education,1 year academic delay,3,2,Mechanics-electricity,Tessenderlo-Ham,Limburg,No,enroll
2022-2023,3rd Grade - 2nd Year,bso,Male,Non-Belgian,EU,17-18,Exclusively Ned with everyone,Upper secondary education,No academic delay,3,2,Trade,Maaseik,Limburg,No,enroll
2022-2023,3rd Grade - 1st Year,aso,Female,Belgian,EU,20-21,Ned with at least one,Upper secondary education,More than 2 years of academic delay,3,1,General secondary education,Antwerpen,Antwerpen,Yes,dropout
2022-2023,3rd Grade - 2nd Year,buso OV4,Male,Belgian,EU,17-18,,,No academic delay,3,2,Mechanics-electricity,Merksplas,Antwerpen,No,enroll
2022-2023,3rd Grade - 2nd Year,buso OV4,Male,Belgian,EU,17-18,,,No academic delay,3,2,Mechanics-electricity,Merksplas,Antwerpen,No,enroll
2022-2023,3rd Grade - 2nd Year,tso,Female,Belgian,EU,17-18,Exclusively Ned with everyone,Lower secondary education,No academic delay,3,2,Personal care,Beveren-Kruibeke-Zwijndrecht,East Flanders,No,enroll
2022-2023,3rd Grade - 2nd Year,tso,Male,Belgian,EU,17-18,Exclusively Ned with everyone,Higher education,No academic delay,3,2,Agriculture and horticulture,Anderlecht,Brussels-Capital Region,No,enroll
2022-2023,3rd Grade - 2nd Year,bso,Male,Belgian,EU,17-18,Exclusively Ned with everyone,Lower secondary education,No academic delay,3,2,Mechanics-electricity,Tielt,West Flanders,No,enroll
2022-2023,3rd Grade - 2nd Year,bso,Female,Belgian,EU,17-18,Exclusively Ned with everyone,Upper secondary education,No academic delay,3,2,Personal care,Dilbeek,Flemish Brabant,No,enroll
2022-2023,3rd Grade - 2nd Year,bso,Male,Non-Belgian,Non-EU,17-18,Ned with no one,Lower secondary education,No academic delay,3,2,Trade,Hasselt,Limburg,Yes,enroll
2022-2023,3rd Grade - 2nd Year,tso,Male,Non-Belgian,EU,19-20,Ned with no one,Upper secondary education,2 years academic delay,3,2,Personal care,Antwerpen,Antwerpen,Yes,enroll
2022-2023,3rd Grade - 2nd Year,tso,Female,Belgian,EU,18-19,Exclusively Ned with everyone,Higher education,1 year academic delay,3,2,Fashion,Kontich,Antwerpen,No,enroll
2022-2023,3rd Grade - 2nd Year,tso,Male,Belgian,EU,19-20,Exclusively Ned with everyone,Upper secondary education,2 years academic delay,3,2,Photography,Mechelen,Antwerpen,Yes,enroll
2022-2023,3rd Grade - 2nd Year,bso,Male,Belgian,EU,18-19,Exclusively Ned with everyone,Lower secondary education,1 year academic delay,3,2,Body care,Sint-Niklaas,East Flanders,Yes,enroll
2022-2023,3rd Grade - 2nd Year,tso,Male,Belgian,EU,17-18,Ned with no one,Upper secondary education,No academic delay,3,2,Mechanics-electricity,Antwerpen,Antwerpen,Yes,enroll
2022-2023,3rd Grade - 2nd Year,bso,Male,Belgian,EU,18-19,Exclusively Ned with everyone,Upper secondary education,1 year academic delay,3,2,Wood,Keerbergen,Flemish Brabant,No,enroll
2022-2023,3rd Grade - 2nd Year,tso,Female,Non-Belgian,EU,18-19,Exclusively Ned with everyone,Lower secondary education,1 year academic delay,3,2,Personal care,Aalst,East Flanders,Yes,enroll
2022-2023,3rd Grade - 2nd Year,tso,Female,Belgian,EU,17-18,Exclusively Ned with everyone,Higher education,No academic delay,3,2,Personal care,Gistel,West Flanders,No,enroll
2022-2023,3rd Grade - 1st Year,tso,Female,Belgian,EU,17-18,Exclusively Ned with everyone,Higher education,1 year academic delay,3,1,Trade,Aarschot,Flemish Brabant,No,dropout
2022-2023,3rd Grade - 2nd Year,bso,Female,Belgian,EU,19-20,Ned with no one,Upper secondary education,2 years academic delay,3,2,Trade,Vilvoorde,Flemish Brabant,No,enroll
2022-2023,3rd Grade - 2nd Year,tso,Male,Belgian,EU,17-18,Ned with at least one,Upper secondary education,No academic delay,3,2,Personal care,Mechelen,Antwerpen,Yes,enroll
2022-2023,3rd Grade - 1st Year,bso,Female,Belgian,EU,17-18,Ned with at least one,Higher education,1 year academic delay,3,1,Graphic communication and media,Antwerpen,Antwerpen,Yes,dropout
2022-2023,3rd Grade - 2nd Year,bso,Male,Belgian,EU,19-20,Ned with no one,No primary education,2 years academic delay,3,2,Construction,Beringen,Limburg,No,enroll
2022-2023,3rd Grade - 2nd Year,bso,Male,Belgian,EU,18-19,Exclusively Ned with everyone,Higher education,1 year academic delay,3,2,Wood,Roeselare,West Flanders,Yes,enroll
2022-2023,3rd Grade - 1st Year,tso,Male,Belgian,EU,18-19,Ned with at least one,Lower secondary education,2 years academic delay,3,1,Personal care,Antwerpen,Antwerpen,Yes,dropout
2022-2023,3rd Grade - 2nd Year,tso,Male,Belgian,EU,18-19,Ned with at least one,Higher education,1 year academic delay,3,2,Personal care,Roeselare,West Flanders,Yes,enroll
2022-2023,3rd Grade - 1st Year,bso,Male,Non-Belgian,EU,18-19,Exclusively Ned with everyone,Upper secondary education,2 years academic delay,3,1,Trade,Sint-Jans-Molenbeek,Brussels-Capital Region,No,dropout
2022-2023,3rd Grade - 2nd Year,aso,Female,Belgian,EU,17-18,Ned with no one,Upper secondary education,No academic delay,3,2,General secondary education,Dendermonde,East Flanders,No,enroll
2022-2023,3rd Grade - 2nd Year,aso,Male,Belgian,EU,17-18,Exclusively Ned with everyone,Upper secondary education,No academic delay,3,2,General secondary education,Hamme,East Flanders,No,enroll
2022-2023,3rd Grade - 2nd Year,tso,Female,Belgian,EU,17-18,Ned with no one,Higher education,No academic delay,3,2,Trade,Lier,Antwerpen,No,enroll
2022-2023,3rd Grade - 1st Year,bso,Female,Belgian,EU,17-18,Ned with no one,Lower secondary education,1 year academic delay,3,1,Personal care,Jette,Brussels-Capital Region,No,dropout
2022-2023,3rd Grade - 2nd Year,aso,Male,Non-Belgian,EU,19-20,Ned with at least one,Upper secondary education,2 years academic delay,3,2,General secondary education,Leuven,Flemish Brabant,Yes,enroll
2022-2023,2nd Grade - 2nd Year,bso,Male,Belgian,EU,17-18,Exclusively Ned with everyone,Primary education,2 years academic delay,2,2, (modernisering SO),Willebroek,Antwerpen,No,dropout
2022-2023,2nd Grade - 2nd Year,bso,Male,Belgian,EU,17-18,Exclusively Ned with everyone,Upper secondary education,2 years academic delay,2,2, (modernisering SO),Hasselt,Limburg,Yes,dropout
2022-2023,3rd Grade - 2nd Year,tso,Male,Belgian,EU,18-19,Exclusively Ned with everyone,Lower secondary education,1 year academic delay,3,2,Mechanics-electricity,Herentals,Antwerpen,No,enroll
2022-2023,3rd Grade - 2nd Year,aso,Female,Belgian,EU,17-18,Exclusively Ned with everyone,Higher education,No academic delay,3,2,Sport,Heist-op-den-Berg,Antwerpen,No,enroll
2022-2023,,dbso,Male,Belgian,EU,19-20,Ned with at least one,Higher education,,,/, (modernisering SO),Antwerpen,Antwerpen,Yes,enroll
2022-2023,3rd Grade - 2nd Year,tso,Female,Non-Belgian,EU,18-19,Exclusively Ned with everyone,No primary education,1 year academic delay,3,2,Personal care,Mol,Antwerpen,No,enroll
2022-2023,3rd Grade - 2nd Year,aso,Male,Non-Belgian,EU,<17-18,Exclusively Ned with everyone,Upper secondary education,No academic delay,3,2,Sport,Brugge,West Flanders,Yes,enroll
2022-2023,,dbso,Male,Belgian,EU,17-18,Exclusively Ned with everyone,Lower secondary education,,,/, (modernisering SO),Nieuwpoort,West Flanders,No,enroll
2022-2023,2nd Grade - 2nd Year,bso,Male,Belgian,EU,17-18,Ned with no one,Lower secondary education,2 years academic delay,2,2, (modernisering SO),Ninove,East Flanders,No,dropout
2022-2023,3rd Grade - 2nd Year,bso,Female,Belgian,EU,18-19,Ned with at least one,No primary education,1 year academic delay,3,2,Trade,Gent,East Flanders,Yes,enroll
2022-2023,2nd Grade - 2nd Year,bso,Female,Belgian,EU,17-18,Exclusively Ned with everyone,Upper secondary education,2 years academic delay,2,2, (modernisering SO),Diksmuide,West Flanders,No,dropout
2022-2023,3rd Grade - 2nd Year,tso,Female,Belgian,EU,18-19,Exclusively Ned with everyone,Upper secondary education,1 year academic delay,3,2,Personal care,Brasschaat,Antwerpen,No,enroll
2022-2023,3rd Grade - 2nd Year,bso,Male,Non-Belgian,EU,18-19,Ned with at least one,Lower secondary education,1 year academic delay,3,2,Trade,Beveren-Kruibeke-Zwijndrecht,East Flanders,No,enroll
2022-2023,,dbso,Male,Non-Belgian,Non-EU,19-20,Ned with no one,Higher education,,,/, (modernisering SO),Mechelen,Antwerpen,Yes,dropout
2022-2023,3rd Grade - 2nd Year,aso,Female,Belgian,EU,17-18,Ned with no one,Higher education,No academic delay,3,2,General secondary education,Denderleeuw,East Flanders,No,enroll
2022-2023,3rd Grade - 2nd Year,bso,Female,Belgian,EU,17-18,Exclusively Ned with everyone,Upper secondary education,No academic delay,3,2,Personal care,Mechelen,Antwerpen,Yes,enroll
2022-2023,,dbso,Male,Belgian,EU,18-19,Ned with no one,Primary education,,,/, (modernisering SO),Eeklo,East Flanders,No,dropout
2022-2023,3rd Grade - 2nd Year,tso,Male,Belgian,EU,18-19,Ned with at least one,Higher education,1 year academic delay,3,2,Personal care,Edegem,Antwerpen,No,enroll
2022-2023,3rd Grade - 2nd Year,bso,Male,Belgian,EU,17-18,Exclusively Ned with everyone,Higher education,No academic delay,3,2,Agriculture and horticulture,Beernem,West Flanders,No,enroll
2022-2023,3rd Grade - 2nd Year,aso,Female,Belgian,EU,19-20,Ned with no one,Higher education,2 years academic delay,3,2,General secondary education,Lier,Antwerpen,No,enroll
2022-2023,3rd Grade - 2nd Year,bso,Male,Belgian,EU,18-19,Exclusively Ned with everyone,Upper secondary education,1 year academic delay,3,2,Auto,Tessenderlo-Ham,Limburg,No,enroll
2022-2023,3rd Grade - 2nd Year,bso,Male,Belgian,EU,17-18,Exclusively Ned with everyone,Primary education,No academic delay,3,2,Auto,Hoogstraten,Antwerpen,No,enroll
2022-2023,3rd Grade - 2nd Year,aso,Female,Belgian,EU,17-18,Ned with at least one,Primary education,No academic delay,3,2,General secondary education,Sint-Niklaas,East Flanders,Yes,enroll
2022-2023,3rd Grade - 2nd Year,tso,Female,Belgian,EU,17-18,Ned with at least one,Higher education,No academic delay,3,2,Personal care,Diksmuide,West Flanders,No,enroll
2022-2023,3rd Grade - 2nd Year,tso,Male,Belgian,EU,17-18,Ned with at least one,Lower secondary education,No academic delay,3,2,Personal care,Genk,Limburg,Yes,enroll
2022-2023,3rd Grade - 2nd Year,tso,Female,Belgian,EU,17-18,Exclusively Ned with everyone,Upper secondary education,No academic delay,3,2,Personal care,Ieper,West Flanders,No,enroll
2022-2023,2nd Grade - 1st Year,bso,Male,Belgian,EU,17-18,Ned with at least one,No primary education,More than 2 years of academic delay,2,1, (modernisering SO),Genk,Limburg,Yes,dropout
2022-2023,3rd Grade - 2nd Year,tso,Female,Non-Belgian,Non-EU,19-20,Ned with no one,,2 years academic delay,3,2,Trade,Halle,Flemish Brabant,No,enroll
2022-2023,2nd Grade - 2nd Year,bso,Male,Belgian,EU,17-18,Exclusively Ned with everyone,Higher education,2 years academic delay,2,2, (modernisering SO),Brugge,West Flanders,Yes,dropout
2022-2023,3rd Grade - 2nd Year,bso,Male,Belgian,EU,18-19,Ned with at least one,Higher education,1 year academic delay,3,2,Construction,Sint-Niklaas,East Flanders,Yes,enroll
2022-2023,3rd Grade - 1st Year,bso,Male,Belgian,EU,17-18,Ned with at least one,Upper secondary education,1 year academic delay,3,1,Trade,Dendermonde,East Flanders,No,dropout
2022-2023,3rd Grade - 2nd Year,kso,Female,Belgian,EU,18-19,Exclusively Ned with everyone,Lower secondary education,1 year academic delay,3,2,Visual arts,Leuven,Flemish Brabant,Yes,enroll
2022-2023,3rd Grade - 2nd Year,aso,Female,Belgian,EU,17-18,Exclusively Ned with everyone,,No academic delay,3,2,General secondary education,Ternat,Flemish Brabant,No,enroll
2022-2023,3rd Grade - 2nd Year,bso,Female,Belgian,EU,17-18,Exclusively Ned with everyone,Higher education,No academic delay,3,2,Agriculture and horticulture,Hoogstraten,Antwerpen,No,enroll
2022-2023,3rd Grade - 1st Year,tso,Male,Belgian,EU,18-19,Exclusively Ned with everyone,Higher education,2 years academic delay,3,1,Personal care,Wuustwezel,Antwerpen,No,dropout
2022-2023,3rd Grade - 2nd Year,tso,Male,Belgian,EU,17-18,Exclusively Ned with everyone,Higher education,No academic delay,3,2,Personal care,Diest,Flemish Brabant,No,enroll
2022-2023,3rd Grade - 2nd Year,tso,Male,Belgian,EU,18-19,Ned with at least one,Lower secondary education,1 year academic delay,3,2,Mechanics-electricity,Tongeren-Borgloon,Limburg,No,enroll
2022-2023,3rd Grade - 2nd Year,aso,Female,Belgian,EU,18-19,Exclusively Ned with everyone,,1 year academic delay,3,2,General secondary education,Hasselt,Limburg,Yes,enroll
2022-2023,3rd Grade - 2nd Year,bso,Female,Belgian,EU,17-18,Ned with no one,Primary education,No academic delay,3,2,Personal care,Boom,Antwerpen,No,enroll
2022-2023,3rd Grade - 2nd Year,tso,Male,Belgian,EU,18-19,Ned with no one,Higher education,1 year academic delay,3,2,Trade,Boom,Antwerpen,No,enroll
2022-2023,3rd Grade - 2nd Year,bso,Male,Belgian,EU,18-19,Exclusively Ned with everyone,Upper secondary education,1 year academic delay,3,2,Trade,Brakel,East Flanders,No,enroll
2022-2023,3rd Grade - 2nd Year,tso,Male,Belgian,EU,19-20,Ned with at least one,Upper secondary education,2 years academic delay,3,2,Trade,Sint-Jans-Molenbeek,Brussels-Capital Region,No,dropout
2022-2023,3rd Grade - 2nd Year,bso,Male,Belgian,EU,17-18,Exclusively Ned with everyone,Higher education,No academic delay,3,2,Trade,Haacht,Flemish Brabant,No,enroll
2022-2023,,dbso,Female,Non-Belgian,Non-EU,18-19,Ned with no one,Higher education,,,/, (modernisering SO),Sint-Pieters-Woluwe,Brussels-Capital Region,No,enroll
2022-2023,3rd Grade - 2nd Year,aso,Female,Belgian,EU,17-18,Ned with no one,Upper secondary education,No academic delay,3,2,General secondary education,Leuven,Flemish Brabant,Yes,enroll
2022-2023,3rd Grade - 2nd Year,aso,Female,Belgian,EU,17-18,Ned with no one,Upper secondary education,No academic delay,3,2,General secondary education,Leuven,Flemish Brabant,Yes,enroll
2022-2023,3rd Grade - 2nd Year,tso,Female,Belgian,EU,17-18,Ned with no one,No primary education,No academic delay,3,2,Chemistry,Antwerpen,Antwerpen,Yes,enroll
2022-2023,3rd Grade - 2nd Year,aso,Male,Belgian,EU,17-18,Ned with no one,Primary education,No academic delay,3,2,General secondary education,Sint-Truiden,Limburg,No,enroll
2022-2023,3rd Grade - 2nd Year,bso,Male,Belgian,EU,18-19,Exclusively Ned with everyone,Lower secondary education,1 year academic delay,3,2,Decorative techniques,Turnhout,Antwerpen,Yes,enroll
2022-2023,3rd Grade - 2nd Year,bso,Female,Non-Belgian,Non-EU,17-18,Ned with no one,Primary education,No academic delay,3,2,Trade,Kortrijk,West Flanders,Yes,enroll
2022-2023,3rd Grade - 2nd Year,tso,Male,Belgian,EU,18-19,Exclusively Ned with everyone,Upper secondary education,1 year academic delay,3,2,Personal care,Veurne,West Flanders,No,dropout
2022-2023,3rd Grade - 2nd Year,bso,Male,Belgian,EU,18-19,Ned with at least one,Higher education,1 year academic delay,3,2,Agriculture and horticulture,Vilvoorde,Flemish Brabant,No,enroll
2022-2023,,dbso,Male,Belgian,EU,20-21,Exclusively Ned with everyone,Primary education,,,/, (modernisering SO),Genk,Limburg,Yes,dropout
2022-2023,3rd Grade - 1st Year,bso,Male,Belgian,EU,18-19,Ned with at least one,Upper secondary education,2 years academic delay,3,1,Cooling and heating,Sint-Agatha-Berchem,Brussels-Capital Region,No,dropout
2022-2023,3rd Grade - 2nd Year,aso,Female,Belgian,EU,18-19,Exclusively Ned with everyone,Upper secondary education,1 year academic delay,3,2,General secondary education,Knokke-Heist,West Flanders,No,enroll
2022-2023,3rd Grade - 2nd Year,tso,Male,Belgian,EU,18-19,Exclusively Ned with everyone,Higher education,1 year academic delay,3,2,Trade,Knokke-Heist,West Flanders,No,enroll
2022-2023,3rd Grade - 2nd Year,tso,Male,Belgian,EU,19-20,Ned with at least one,Lower secondary education,2 years academic delay,3,2,Personal care,Sint-Jans-Molenbeek,Brussels-Capital Region,No,enroll
2022-2023,3rd Grade - 2nd Year,aso,Female,Belgian,EU,17-18,Exclusively Ned with everyone,Upper secondary education,No academic delay,3,2,General secondary education,Gistel,West Flanders,No,enroll
2022-2023,3rd Grade - 2nd Year,bso,Female,Non-Belgian,Non-EU,20-21,Ned with at least one,No primary education,More than 2 years of academic delay,3,2,Personal care,Gent,East Flanders,Yes,dropout
2022-2023,3rd Grade - 1st Year,bso,Male,Belgian,EU,17-18,Ned with no one,Lower secondary education,1 year academic delay,3,1,Decorative techniques,Gent,East Flanders,Yes,dropout
2022-2023,3rd Grade - 2nd Year,aso,Male,Non-Belgian,Non-EU,17-18,Ned with at least one,Higher education,No academic delay,3,2,General secondary education,Antwerpen,Antwerpen,Yes,enroll
2022-2023,3rd Grade - 2nd Year,bso,Male,Belgian,EU,18-19,Ned with at least one,Upper secondary education,1 year academic delay,3,2,Trade,Leuven,Flemish Brabant,Yes,enroll
2022-2023,3rd Grade - 1st Year,aso,Female,Belgian,EU,17-18,Exclusively Ned with everyone,Upper secondary education,1 year academic delay,3,1,General secondary education,Brussel,Brussels-Capital Region,No,dropout
2022-2023,3rd Grade - 2nd Year,tso,Male,Belgian,EU,17-18,Exclusively Ned with everyone,Upper secondary education,No academic delay,3,2,Trade,Blankenberge,West Flanders,No,enroll
2022-2023,3rd Grade - 1st Year,tso,Male,Belgian,EU,17-18,Exclusively Ned with everyone,Higher education,1 year academic delay,3,1,Mechanics-electricity,Stabroek,Antwerpen,No,dropout
2022-2023,3rd Grade - 2nd Year,bso,Male,Belgian,EU,17-18,Ned with at least one,Upper secondary education,No academic delay,3,2,Trade,Temse,East Flanders,No,enroll
2022-2023,3rd Grade - 2nd Year,aso,Female,Non-Belgian,Non-EU,18-19,Ned with no one,Upper secondary education,1 year academic delay,3,2,General secondary education,Antwerpen,Antwerpen,Yes,enroll
2022-2023,3rd Grade - 2nd Year,tso,Female,Belgian,EU,17-18,Exclusively Ned with everyone,Higher education,No academic delay,3,2,Personal care,Sint-Niklaas,East Flanders,Yes,enroll
2022-2023,2nd Grade - 2nd Year,tso,Male,Non-Belgian,Non-EU,17-18,Ned with no one,Lower secondary education,2 years academic delay,2,2, (modernisering SO),Sint-Niklaas,East Flanders,Yes,dropout
2022-2023,3rd Grade - 2nd Year,tso,Male,Non-Belgian,Non-EU,19-20,Ned with no one,Upper secondary education,2 years academic delay,3,2,Chemistry,Antwerpen,Antwerpen,Yes,enroll
2022-2023,3rd Grade - 2nd Year,bso,Male,Belgian,EU,17-18,Exclusively Ned with everyone,Upper secondary education,No academic delay,3,2,Mechanics-electricity,Kontich,Antwerpen,No,enroll
2022-2023,,dbso,Male,Non-Belgian,Non-EU,21-22,Ned with at least one,Primary education,,,/, (modernisering SO),Antwerpen,Antwerpen,Yes,enroll
2022-2023,3rd Grade - 1st Year,bso,Female,Belgian,EU,18-19,Exclusively Ned with everyone,Lower secondary education,2 years academic delay,3,1,Agriculture and horticulture,Aalst,East Flanders,Yes,dropout
2022-2023,,dbso,Female,Belgian,EU,21-22,Ned with at least one,No primary education,,,/, (modernisering SO),Roeselare,West Flanders,Yes,dropout
2022-2023,3rd Grade - 2nd Year,aso,Male,Belgian,EU,17-18,Exclusively Ned with everyone,Upper secondary education,No academic delay,3,2,General secondary education,Koekelberg,Brussels-Capital Region,No,enroll
2022-2023,3rd Grade - 2nd Year,aso,Male,Non-Belgian,EU,18-19,Exclusively Ned with everyone,Higher education,1 year academic delay,3,2,General secondary education,Antwerpen,Antwerpen,Yes,dropout
2022-2023,3rd Grade - 2nd Year,aso,Male,Belgian,EU,18-19,Ned with at least one,Primary education,1 year academic delay,3,2,General secondary education,Antwerpen,Antwerpen,Yes,enroll
2022-2023,3rd Grade - 2nd Year,aso,Male,Belgian,EU,18-19,Ned with at least one,Primary education,1 year academic delay,3,2,General secondary education,Antwerpen,Antwerpen,Yes,enroll
2022-2023,3rd Grade - 2nd Year,tso,Male,Non-Belgian,Non-EU,19-20,Ned with no one,Upper secondary education,2 years academic delay,3,2,Trade,Antwerpen,Antwerpen,Yes,enroll
2022-2023,3rd Grade - 2nd Year,bso,Female,Belgian,EU,18-19,Ned with no one,Lower secondary education,1 year academic delay,3,2,Personal care,Ninove,East Flanders,No,enroll
2022-2023,3rd Grade - 2nd Year,bso,Female,Belgian,EU,18-19,Ned with no one,No primary education,1 year academic delay,3,2,Body care,Gent,East Flanders,Yes,enroll
2022-2023,3rd Grade - 2nd Year,bso,Male,Belgian,EU,17-18,Exclusively Ned with everyone,Lower secondary education,No academic delay,3,2,Mechanics-electricity,Ieper,West Flanders,No,enroll
2022-2023,3rd Grade - 2nd Year,bso,Male,Belgian,EU,17-18,Exclusively Ned with everyone,Upper secondary education,No academic delay,3,2,Wood,Halle,Flemish Brabant,No,enroll
2022-2023,,dbso,Female,Non-Belgian,Non-EU,>21-22,Ned with no one,No primary education,,,/, (modernisering SO),Kortrijk,West Flanders,Yes,dropout
2022-2023,3rd Grade - 2nd Year,kso,Female,Belgian,EU,18-19,Ned with at least one,Higher education,1 year academic delay,3,2,Visual arts,Turnhout,Antwerpen,Yes,enroll
2022-2023,3rd Grade - 2nd Year,bso,Female,Belgian,EU,17-18,Exclusively Ned with everyone,Upper secondary education,No academic delay,3,2,Personal care,Sint-Niklaas,East Flanders,Yes,enroll
